2026-06-09 10:20:22 | INFO | __main__ | Application started
2026-06-09 10:20:39 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:20:41 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:20:41 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:20:42 | INFO | src.data | Normalization completed
2026-06-09 10:20:43 | INFO | src.evaluate | Evaluation started
2026-06-09 10:20:43 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:20:45 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:20:45 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:20:46 | INFO | src.data | Normalization completed
2026-06-09 10:20:49 | INFO | src.evaluate | Classification report generated
2026-06-09 10:20:49 | INFO | src.evaluate | Evaluation completed
2026-06-09 10:20:49 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 10:20:49 | INFO | src.predict | Model loaded successfully
2026-06-09 10:20:51 | INFO | src.predict | Loading image: inputs/sample_image.png
2026-06-09 10:20:51 | INFO | src.predict | Running prediction
2026-06-09 10:20:51 | INFO | src.predict | Prediction=cat, Confidence=0.2906
2026-06-09 10:20:52 | INFO | src.visualisation | Displaying sample images
2026-06-09 10:34:44 | INFO | __main__ | Application started
2026-06-09 10:34:51 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:34:53 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:34:53 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:34:53 | INFO | src.data | Normalization completed
2026-06-09 10:34:54 | INFO | src.evaluate | Evaluation started
2026-06-09 10:34:54 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:34:55 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:34:55 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:34:56 | INFO | src.data | Normalization completed
2026-06-09 10:34:59 | INFO | src.evaluate | Classification report generated
2026-06-09 10:34:59 | INFO | src.evaluate | Evaluation completed
2026-06-09 10:34:59 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 10:34:59 | INFO | src.predict | Model loaded successfully
2026-06-09 10:35:00 | INFO | src.predict | Loading image: inputs/sample_image.png
2026-06-09 10:35:00 | INFO | src.predict | Running prediction
2026-06-09 10:35:00 | INFO | src.predict | Prediction=cat, Confidence=0.2906
2026-06-09 10:35:00 | INFO | src.visualisation | Displaying sample images
2026-06-09 10:35:24 | INFO | src.visualisation | Displaying correct predictions
2026-06-09 10:35:32 | INFO | src.visualisation | Displaying errors
2026-06-09 10:37:16 | INFO | __main__ | Application started
2026-06-09 10:37:22 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:37:24 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:37:24 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:37:24 | INFO | src.data | Normalization completed
2026-06-09 10:37:25 | INFO | src.evaluate | Evaluation started
2026-06-09 10:37:25 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:37:26 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:37:26 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:37:27 | INFO | src.data | Normalization completed
2026-06-09 10:37:29 | INFO | src.evaluate | Classification report generated
2026-06-09 10:37:29 | INFO | src.evaluate | Evaluation completed
2026-06-09 10:37:29 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 10:37:30 | INFO | src.predict | Model loaded successfully
2026-06-09 10:37:31 | INFO | src.predict | Loading image: inputs/sample_image.png
2026-06-09 10:37:31 | INFO | src.predict | Running prediction
2026-06-09 10:37:31 | INFO | src.predict | Prediction=cat, Confidence=0.2906
2026-06-09 10:37:31 | INFO | src.visualisation | Displaying sample images
